time,signal
9460,16329.0
9470,16242.0
9480,16159.0
9490,16657.0
9500,15845.0
9510,15512.0
9520,16067.0
9530,15768.0
9540,15788.0
9550,15469.0
9560,15264.0
9570,15391.0
9580,15994.0
9590,15701.0
9600,15250.0
9610,15232.0
9620,15307.0
9630,14915.0
9640,15314.0
9650,15228.0
9660,15204.0
9670,15052.0
9680,14714.0
9690,14738.0
9700,14886.0
9710,14691.0
9720,14830.0
9730,14396.0
9740,14316.0
9750,15071.0
9760,14336.0
9770,14545.0
9780,14248.0
9790,14280.0
9800,14172.0
9810,13980.0
9820,14212.0
9830,14392.0
9840,14010.0
9850,13769.0
9860,13528.0
9870,14191.0
9880,14046.0
9890,13964.0
9900,13720.0
9910,13674.0
9920,13522.0
9930,13687.0
9940,13248.0
9950,13440.0
9960,13292.0
9970,12974.0
9980,13235.0
9990,13468.0
10000,13315.0
10010,13018.0
10020,13008.0
10030,13054.0
10040,13155.0
10050,13011.0
10060,13231.0
10070,12692.0
10080,12817.0
10090,12630.0
10100,12597.0
10110,12546.0
10120,12563.0
10130,12452.0
10140,12513.0
10150,12283.0
10160,12117.0
10170,12177.0
10180,12156.0
10190,12126.0
10200,12044.0
10210,12133.0
10220,11782.0
10230,11816.0
10240,11838.0
10250,11820.0
10260,11804.0
10270,12042.0
10280,11822.0
10290,11895.0
10300,11995.0
10310,11633.0
10320,11975.0
10330,12028.0
10340,12069.0
10350,11662.0
10360,11639.0
10370,11671.0
10380,11547.0
10390,11834.0
10400,11783.0
10410,11520.0
10420,11342.0
10430,11574.0
10440,11350.0
10450,11313.0
10460,11177.0
10470,11005.0
10480,11264.0
10490,11238.0
10500,11156.0
10510,10998.0
10520,11327.0
10530,11007.0
10540,10947.0
10550,11144.0
10560,10987.0
10570,11148.0
10580,10984.0
10590,11095.0
10600,10994.0
10610,10972.0
10620,10781.0
10630,10753.0
10640,10716.0
10650,10706.0
10660,10815.0
10670,11090.0
10680,10942.0
10690,11602.0
10700,11848.0
10710,11882.0
10720,11882.0
10730,12175.0
10740,12215.0
10750,12191.0
10760,12344.0
10770,12154.0
10780,12253.0
10790,12480.0
10800,12338.0
10810,12184.0
10820,11988.0
10830,11654.0
10840,12125.0
10850,12065.0
10860,12174.0
10870,12075.0
10880,11589.0
10890,12020.0
10900,11884.0
10910,12031.0
10920,11954.0
10930,11936.0
10940,11367.0
10950,12005.0
10960,11810.0
10970,11629.0
10980,11549.0
10990,11203.0
11000,11363.0
11010,11269.0
11020,11381.0
11030,11031.0
11040,11233.0
11050,11444.0
11060,10935.0
11070,11180.0
11080,11237.0
11090,11027.0
11100,10860.0
11110,11294.0
11120,10891.0
11130,10934.0
11140,11073.0
11150,10700.0
11160,10972.0
11170,10758.0
11180,10719.0
11190,10885.0
11200,10778.0
11210,10760.0
11220,10664.0
11230,10471.0
11240,10550.0
11250,10576.0
11260,10487.0
11270,10201.0
11280,10512.0
11290,10162.0
11300,10249.0
11310,10174.0
11320,10277.0
11330,9972.0
11340,10365.0
11350,10282.0
11360,9983.0
11370,9967.0
11380,10046.0
11390,10181.0
11400,10133.0
11410,10028.0
11420,9865.0
11430,9838.0
11440,9762.0
11450,9783.0
11460,10075.0
11470,9817.0
11480,9848.0
11490,9691.0
11500,9594.0
11510,9701.0
11520,9617.0
11530,9601.0
11540,9425.0
11550,9369.0
11560,9539.0
11570,9571.0
11580,9459.0
11590,9589.0
11600,9395.0
11610,9221.0
11620,9000.0
11630,9283.0
11640,9194.0
11650,9144.0
11660,9228.0
11670,9246.0
11680,8975.0
11690,8954.0
11700,9112.0
11710,8866.0
11720,8737.0
11730,8941.0
11740,8913.0
11750,8944.0
11760,9002.0
11770,8936.0
11780,9005.0
11790,9040.0
11800,8767.0
11810,8558.0
11820,8676.0
11830,8704.0
11840,8471.0
11850,8658.0
11860,8528.0
11870,8459.0
11880,8423.0
11890,8485.0
11900,8404.0
11910,8339.0
11920,8340.0
11930,8154.0
11940,8222.0
11950,8234.0
11960,8323.0
11970,8484.0
11980,8377.0
11990,8385.0
12000,8249.0
12010,8025.0
12020,8173.0
12030,8256.0
12040,8095.0
12050,8018.0
12060,8464.0
12070,8104.0
12080,7804.0
12090,7869.0
12100,7877.0
12110,7843.0
12120,7612.0
12130,7819.0
12140,7778.0
12150,7717.0
12160,7843.0
12170,7697.0
12180,7810.0
12190,7573.0
12200,7584.0
12210,7464.0
12220,7669.0
12230,7432.0
12240,7231.0
12250,7396.0
12260,7466.0
12270,7456.0
12280,7443.0
12290,7489.0
12300,7397.0
12310,7242.0
12320,7122.0
12330,7379.0
12340,7508.0
12350,7330.0
12360,7356.0
12370,7191.0
12380,7145.0
12390,7309.0
12400,6954.0
12410,7189.0
12420,7010.0
12430,7128.0
12440,7059.0
12450,6936.0
12460,6931.0
12470,6788.0
12480,6954.0
12490,6822.0
12500,6633.0
12510,7234.0
12520,7146.0
12530,6850.0
12540,6891.0
12550,6951.0
12560,6698.0
12570,6748.0
12580,6808.0
12590,6606.0
12600,6781.0
12610,6388.0
12620,6403.0
12630,6802.0
12640,6521.0
12650,6482.0
12660,6612.0
12670,6575.0
12680,6778.0
12690,6565.0
12700,6378.0
12710,6303.0
12720,6277.0
12730,6530.0
12740,6472.0
12750,6330.0
12760,6306.0
12770,6229.0
12780,6236.0
12790,6271.0
12800,6326.0
12810,6125.0
12820,6242.0
12830,6221.0
12840,6235.0
12850,6103.0
12860,6040.0
12870,6001.0
12880,5908.0
12890,6249.0
12900,5985.0
12910,6077.0
12920,5972.0
12930,5822.0
12940,5951.0
12950,5789.0
12960,6011.0
12970,6109.0
12980,5802.0
12990,5663.0
13000,5885.0
13010,5753.0
13020,5657.0
13030,5917.0
13040,5754.0
13050,5775.0
13060,5615.0
13070,5853.0
13080,5663.0
13090,5664.0
13100,5770.0
13110,5555.0
13120,5720.0
13130,5735.0
13140,5556.0
13150,5670.0
13160,5722.0
13170,5493.0
13180,5326.0
13190,5632.0
13200,5581.0
13210,5503.0
13220,5235.0
13230,5538.0
13240,5521.0
13250,5360.0
13260,5359.0
13270,5339.0
13280,5361.0
13290,5490.0
13300,5398.0
13310,5339.0
13320,5257.0
13330,5216.0
13340,5299.0
13350,5235.0
13360,5113.0
13370,5293.0
13380,5355.0
13390,5209.0
13400,5144.0
13410,5086.0
13420,5554.0
13430,5348.0
13440,5222.0
13450,5036.0
13460,4908.0
13470,5306.0
13480,4887.0
13490,5155.0
13500,5183.0
13510,5015.0
13520,5183.0
13530,4899.0
13540,5275.0
13550,4933.0
13560,5111.0
13570,4732.0
13580,4819.0
13590,4802.0
13600,4795.0
13610,4820.0
13620,4798.0
13630,4869.0
13640,4887.0
13650,4758.0
13660,4761.0
13670,4852.0
13680,4931.0
13690,4801.0
13700,4813.0
13710,4645.0
13720,4673.0
13730,4788.0
13740,4873.0
13750,4650.0
13760,4759.0
13770,4758.0
13780,4887.0
13790,4769.0
13800,4722.0
13810,4703.0
13820,4686.0
13830,4724.0
13840,4631.0
